,cost_for_two,cuisines,locality,rating,rest_name,votes
913,350,['Bakery'],Electronic City,3.2,Bak'd Goodies                                     ,5
914,200,['Chinese'],Rajarajeshwari Nagar,3.8,Republic Of Barbeque                                     ,93
915,400,['North Indian'],New BEL Road,3.8,Kulche D' Hatti                                     ,35
916,450,"['Chinese', 'Continental', 'Italian', 'Healthy Food', 'Asian', 'North Indian', 'Pizza', 'Desserts']",Indiranagar,3.8,FreshMenu                                     ,1214
917,100,['South Indian'],Marathahalli,3.6,Shanthi's Kitchen                                     ,18
918,450,"['South Indian', 'North Indian', 'Street Food']",Rajajinagar,4,Hotel Kadamba Veg                                     ,409
919,400,"['North Indian', 'Continental', 'Biryani', 'Chinese', 'Fast Food', 'Beverages']",Brookefield,4,D'Brooks                                     ,118
920,"1,000","['North Indian', 'Chinese', 'Mughlai']",JP Nagar,4.2,Mango Trees                                     ,1360
921,300,"['Desserts', 'Ice Cream', 'Pizza']",New BEL Road,4.2,Fat Unicorn                                     ,133
922,200,"['South Indian', 'Street Food']",Electronic City,3.7,Jai Maruthi 99 Variety Dosa & Pav Bhaji Corner                                     ,15
923,500,"['Fast Food', 'Beverages']",Wilson Garden,3.6,Meat And Eat                                     ,20
924,350,"['North Indian', 'Street Food']",HSR,4,Sitaphal                                     ,84
925,500,['Andhra'],Majestic,4.1,Hotel Navayuga                                     ,264
926,500,"['North Indian', 'Fast Food', 'Biryani', 'Chinese']",BTM,3.8,Rajveena Kitchen                                     ,107
927,300,"['Desserts', 'Ice Cream', 'Beverages']",Koramangala 5th Block,3.9,Ice Cream Lab                                     ,30
928,"1,500","['Continental', 'Asian', 'Italian', 'North Indian', 'Chinese']",Whitefield,3.7,Hopshaus                                     ,46
929,"1,200","['North Indian', 'Chinese']",Jayanagar,4,Eshanya                                     ,1184
930,600,"['North Indian', 'Chinese', 'Street Food', 'Rajasthani', 'Desserts']",Yelahanka,4.1,Khana Khazana Xpress                                     ,403
931,300,"['Fast Food', 'Biryani', 'Beverages', 'Burger']",RT Nagar,3.8,Johars Kitchen                                     ,45
932,150,"['Bakery', 'Fast Food']",Frazer Town,4.3,Albert Bakery                                     ,462
933,450,"['Andhra', 'Biryani', 'North Indian']",Old Airport Road,3.8,Suchithra Biryani House                                     ,344
934,250,['Maharashtrian'],HSR,4.3,Gavran Misal                                     ,164
935,500,"['North Indian', 'Rolls']",International Airport,3.8,Indian Paratha Company                                     ,2377
936,200,"['Cafe', 'Tea', 'Beverages', 'Fast Food']",BTM,4.3,Chai Days                                     ,86
